description,details,money,pub_name
"3000 word opinion, editorial, column or essay",Medium reporting; Solicited pitch (editor asked you to pitch),"$0.20
/word",observatory
"~750 word opinion, editorial, column or essay",Little to no reporting; Solicited pitch (editor asked you to pitch),"$0.02
/word",obsev
"725 word opinion, editorial, column or essay",Medium reporting; Cold pitch (no pre existing relationship),"$0.14
/word",occupycom
~1500 word profile or interview,Medium reporting; Cold pitch (no pre existing relationship),"$0.33
/word",office pro
"~750 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.13
/word",okeypanky
~375 word feature,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.10
/word",oklahoma gazette
"1000 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.15
/word",on she goes
2100 word feature,Heavy/Investigative reporting; Ongoing/pre existing relationship with editor or publication,"$0.05
/word",ookpixels
2000 word feature,Heavy/Investigative reporting; Solicited pitch (editor asked you to pitch),"$0.05
/word",ookpixels
1700 word,,"$0.11
/word",open
"900 word criticism, review, or arts/entertainment coverage",Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.06
/word",open culture
~375 word news story,Medium reporting; Assignment (editor came to you),"$0.13
/word",oregon beer growler
1000 word feature,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.13
/word",oregon healthy living
~750 word news story,Medium reporting; Cold pitch (no pre existing relationship),"$0.10
/word",otaku usa magazine
800 word news story,Medium reporting; Assignment (editor came to you),"$0.06
/word",ourselves black
800 word profile or interview,Heavy/Investigative reporting; Cold pitch (no pre existing relationship),"$0.50
/word",outside online
800 word,,"$0.50
/word",outside online
4000 word feature,Heavy/Investigative reporting; Assignment (editor came to you),"$0.63
/word",outside online
500 word news story,Medium reporting; Assignment (editor came to you),"$0.65
/word",outside online
400 word fob,Medium reporting; Assignment (editor came to you),"$1.00
/word",outside online
"1000 word opinion, editorial, column or essay",Medium reporting; Assignment (editor came to you),"$0.42
/word",outside online
1500 word news story,Heavy/Investigative reporting; Referral (you had a connection who connected you to the editor),"$1.00
/word",outside online
1060 word news story,Heavy/Investigative reporting; Ongoing/pre existing relationship with editor or publication,"$0.50
/word",outside online
4000 word feature,,"$0.25
/word",outside online
"1300 word opinion, editorial, column or essay",Heavy/Investigative reporting; Referral (you had a connection who connected you to the editor),"$0.38
/word",outside online
~375 word fob,Medium reporting; Cold pitch (no pre existing relationship),"$0.53
/word",outside online
,,"$300
flat",outside online
750 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.13
/word",outside bozeman
800 word profile or interview,Heavy/Investigative reporting; Cold pitch (no pre existing relationship),"$0.50
/word",outside online
800 word,,"$0.50
/word",outside online
4000 word feature,Heavy/Investigative reporting; Assignment (editor came to you),"$0.63
/word",outside online
500 word news story,Medium reporting; Assignment (editor came to you),"$0.65
/word",outside online
400 word fob,Medium reporting; Assignment (editor came to you),"$1.00
/word",outside online
"1000 word opinion, editorial, column or essay",Medium reporting; Assignment (editor came to you),"$0.42
/word",outside online
1500 word news story,Heavy/Investigative reporting; Referral (you had a connection who connected you to the editor),"$1.00
/word",outside online
1060 word news story,Heavy/Investigative reporting; Ongoing/pre existing relationship with editor or publication,"$0.50
/word",outside online
4000 word feature,,"$0.25
/word",outside online
"1300 word opinion, editorial, column or essay",Heavy/Investigative reporting; Referral (you had a connection who connected you to the editor),"$0.38
/word",outside online
~375 word fob,Medium reporting; Cold pitch (no pre existing relationship),"$0.53
/word",outside online
,,"$300
flat",outside online
"900 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.13
/word",overland literary journal
300 word fob,Little to no reporting; Other,"$0.25
/word",overture
"1000 word opinion, editorial, column or essay",Little to no reporting; Referral (you had a connection who connected you to the editor),"$0.50
/word",overture
2500 word news story,Medium reporting; Cold pitch (no pre existing relationship),"$0.30
/word",oxford american
700 word fob,Little to no reporting,"$0.50
/word",oxford american
"2400 word opinion, editorial, column or essay",Medium reporting; Referral (you had a connection who connected you to the editor),"$0.31
/word",oxford american
"opinion, editorial, column or essay",,"$25
flat",oxford american
50000 word other,Heavy/Investigative reporting; Cold pitch (no pre existing relationship),"$0.02
/word",oxford university press
1200 word blog post,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.13
/word",oyster
600 word,,"$0.10
/word",oyster
1600 word,,"$0.63
/word",ozy
"900 word opinion, editorial, column or essay",Heavy/Investigative reporting; Cold pitch (no pre existing relationship),"$0.28
/word",ozy
900 word feature,Medium reporting; Solicited pitch (editor asked you to pitch),"$0.56
/word",ozy
852 word news story,Little to no reporting; Referral (you had a connection who connected you to the editor),"$0.35
/word",ozy
750 word,,"$0.40
/word",ozy
900 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.56
/word",ozy
800 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.63
/word",ozy
"~750 word opinion, editorial, column or essay",Little to no reporting; Solicited pitch (editor asked you to pitch),"$0.47
/word",ozy
"~750 word opinion, editorial, column or essay",Little to no reporting; Solicited pitch (editor asked you to pitch),"$0.47
/word",ozy
1200 word,,"$1.00
/word",pacific standard
1200 word,,"$1.00
/word",pacific standard
2000 word feature,Heavy/Investigative reporting; Ongoing/pre existing relationship with editor or publication,"$0.17
/word",pacific standard
1000 word,,"$0.25
/word",pacific standard
2000 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.20
/word",pacific standard
2500 word feature,Medium reporting; Solicited pitch (editor asked you to pitch),"$0.16
/word",pacific standard
1600 word feature,Medium reporting; Other,"$0.25
/word",pacific standard
2500 word feature,Medium reporting; Solicited pitch (editor asked you to pitch),"$0.12
/word",pacific standard
1000 word news story,Medium reporting; Referral (you had a connection who connected you to the editor),"$0.25
/word",pacific standard
2500 word feature,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$2.00
/word",pacific standard
"800 word opinion, editorial, column or essay",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.75
/word",pacific standard
2000 word feature,Heavy/Investigative reporting; Cold pitch (no pre existing relationship),"$0.15
/word",pacific standard
~1500 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.17
/word",pacific standard
"~1500 word opinion, editorial, column or essay",Little to no reporting; Solicited pitch (editor asked you to pitch),"$0.17
/word",pacific standard
"~750 word criticism, review, or arts/entertainment converage",Little to no reporting; Solicited pitch (editor asked you to pitch),"$0.33
/word",pacific standard
~750 word news story,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.33
/word",pacific standard
~750 word fob,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$1.33
/word",pacific standard
~3000 word feature,Heavy/Investigative reporting; Cold pitch (no pre existing relationship),"$0.83
/word",pacific standard
2000 word,,"$0.20
/word",pagely
1200 word profile or interview,Medium reporting; Cold pitch (no pre existing relationship),"$0.08
/word",paper magazine
1000 word feature,,"$3.00
/word",parade
1350 word other,Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.09
/word",parallax news
"463 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.11
/word",parent co
800 word blog post,Little to no reporting; Cold pitch (no pre existing relationship),"$0.06
/word",parent co
600 word blog post,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.08
/word",parent co
"500 word opinion, editorial, column or essay",,"$1.50
/word",parenting magazine
1000 word feature,Cold pitch (no pre existing relationship),"$0.00
/word",parentmap
~1500 word feature,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$1.75
/word",parents
~1500 word news story,Medium reporting; Cold pitch (no pre existing relationship),"$0.23
/word",parents
~750 word fob,Heavy/Investigative reporting; Ongoing/pre existing relationship with editor or publication,"$1.87
/word",parents
700 word news story,,"$0.36
/word",parents
400 word feature,Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.38
/word",particle
800 word,,"$0.04
/word",paste magazine
"1200 word opinion, editorial, column or essay",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.08
/word",paste magazine
"1000 word criticism, review, or arts/entertainment coverage",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.07
/word",paste magazine
1000 word news story,Little to no reporting; Referral (you had a connection who connected you to the editor),"$0.10
/word",paste magazine
1700 word blog post,Little to no reporting; Referral (you had a connection who connected you to the editor),"$0.06
/word",paste magazine
1000 word,Little to no reporting; Referral (you had a connection who connected you to the editor),"$0.10
/word",paste magazine
1000 word,,"$0.10
/word",paste magazine
1000 word,,"$0.10
/word",paste magazine
"1000 word opinion, editorial, column or essay",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.05
/word",paste magazine
500 word,Little to no reporting,"$0.04
/word",paste magazine
800 word,,"$0.13
/word",paste magazine
754 word fob,Little to no reporting; Cold pitch (no pre existing relationship),"$0.10
/word",paste magazine
3000 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.05
/word",paste magazine
"1500 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.05
/word",paste magazine
750 word blog post,Medium reporting; Cold pitch (no pre existing relationship),"$0.17
/word",paste magazine
"~750 word criticism, review, or arts/entertainment converage",Medium reporting; Solicited pitch (editor asked you to pitch),"$0.05
/word",paste magazine
~750 word profile or interview,Medium reporting; Cold pitch (no pre existing relationship),"$0.13
/word",paste magazine
~750 word fob,Medium reporting; Cold pitch (no pre existing relationship),"$0.07
/word",paste magazine
other,,"$50
flat",paste magazine
feature,,"$100
flat",paste magazine
"800 word criticism, review, or arts/entertainment converage",,"$0.04
/word",paste magazine
781 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.10
/word",paste magazine food section
~750 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.13
/word",paste magazine food section
~750 word news story,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.20
/word",pbs mediashift
"~750 word opinion, editorial, column or essay",Medium reporting; Ongoing/pre existing relationship with editor or publication,"$1.00
/word",pbs nova nature of reality blog
500 word,,"$0.60
/word",pcmag
2000 word,,"$0.45
/word",penthouse
"1000 word opinion, editorial, column or essay",Medium reporting; Cold pitch (no pre existing relationship),"$0.14
/word",peppermint magazine
1200 word fiction,Little to no reporting; Cold pitch (no pre existing relationship),"$0.10
/word",perihelion science fiction
"~1500 word opinion, editorial, column or essay",Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.20
/word",pet business
~1500 word feature,Medium reporting; Assignment (editor came to you),"$0.20
/word",pet business
"750 word opinion, editorial, column or essay",Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.13
/word",philadelphia inquirer
"525 word criticism, review, or arts/entertainment coverage",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.29
/word",philadelphia inquirer
"800 word opinion, editorial, column or essay",Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.13
/word",philadelphia inquirer
"~750 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.13
/word",philadelphia inquirer
5000 word news story,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.10
/word",photopreneur
5000 word profile or interview,Medium reporting; Assignment (editor came to you),"$0.00
/word",photopreneur
~1500 word news story,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.47
/word",physicians practice
250 word,,"$0.20
/word",pitchfork
1600 word,,"$0.25
/word",pitchfork
"1000 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.13
/word",pitchfork
profile or interview,,"$100
flat",pitchfork
"criticism, review, or arts/entertainment converage",,"$80
flat",pitchfork
news story,,"$100
flat",pitchfork
profile or interview,,"$100
flat",pitchfork
"criticism, review, or arts/entertainment converage",,"$80
flat",pitchfork
1400 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.50
/word",pittsburgh quarterly
1400 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.50
/word",pittsburgh quarterly
~750 word news story,Little to no reporting; Cold pitch (no pre existing relationship),"$0.67
/word",pizza today
4000 word feature,Heavy/Investigative reporting; Cold pitch (no pre existing relationship),"$0.30
/word",places journal
~375 word news story,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$1.04
/word",planning magazine
3000 word feature,,"$1.00
/word",plate magazine
500 word feature,Medium reporting; Assignment (editor came to you),"$0.30
/word",playbill
"1300 word criticism, review, or arts/entertainment coverage",Medium reporting; Cold pitch (no pre existing relationship),"$0.00
/word",playboy
1600 word feature,Medium reporting; Assignment (editor came to you),"$0.31
/word",playboy
3600 word,Heavy/Investigative reporting,"$2.00
/word",playboy
1500 word feature,Medium reporting; Solicited pitch (editor asked you to pitch),"$0.33
/word",playboy
800 word feature,Little to no reporting; Cold pitch (no pre existing relationship),"$0.29
/word",playboy
~3000 word feature,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$3.67
/word",playboy
"~1500 word opinion, editorial, column or essay",Medium reporting; Cold pitch (no pre existing relationship),"$0.17
/word",playboy
"1300 word criticism, review, or arts/entertainment coverage",Medium reporting; Cold pitch (no pre existing relationship),"$0.00
/word",playboy
1600 word feature,Medium reporting; Assignment (editor came to you),"$0.31
/word",playboy
3600 word,Heavy/Investigative reporting,"$2.00
/word",playboy
1500 word feature,Medium reporting; Solicited pitch (editor asked you to pitch),"$0.33
/word",playboy
800 word feature,Little to no reporting; Cold pitch (no pre existing relationship),"$0.29
/word",playboy
~3000 word feature,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$3.67
/word",playboy
"~1500 word opinion, editorial, column or essay",Medium reporting; Cold pitch (no pre existing relationship),"$0.17
/word",playboy
"900 word criticism, review, or arts/entertainment coverage",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.02
/word",ploughshares
"2500 word opinion, editorial, column or essay",Little to no reporting; Referral (you had a connection who connected you to the editor),"$0.16
/word",podiatry management magazine
"1500 word opinion, editorial, column or essay",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.50
/word",poetry foundation
~1500 word profile or interview,Medium reporting; Solicited pitch (editor asked you to pitch),"$0.33
/word",poetry foundation
1600 word,,"$0.44
/word",poetry foundation
"~1500 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.17
/word",poets  writers
1200 word,,"$0.21
/word",policy mic
"900 word criticism, review, or arts/entertainment coverage",Little to no reporting; Referral (you had a connection who connected you to the editor),"$0.17
/word",policy mic
"~750 word opinion, editorial, column or essay",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.04
/word",policy mic
~750 word news story,Medium reporting; Assignment (editor came to you),"$0.10
/word",policy mic
"1000 word opinion, editorial, column or essay",Medium reporting; Cold pitch (no pre existing relationship),"$0.35
/word",politico magazine
2000 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.20
/word",politico magazine
"2000 word opinion, editorial, column or essay",Little to no reporting; Submission/spec (piece was written prior and then submitted for publication),"$0.20
/word",politico magazine
1400 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.31
/word",politico magazine europe edition
750 word news story,Medium reporting; Solicited pitch (editor asked you to pitch),"$0.13
/word",pollstar
"3000 word opinion, editorial, column or essay",Heavy/Investigative reporting; Ongoing/pre existing relationship with editor or publication,"$0.10
/word",polygon
1000 word,,"$0.25
/word",polygon
"~3000 word criticism, review, or arts/entertainment converage",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.00
/word",popmatters
"criticism, review, or arts/entertainment converage",,,popmatters
,,,popmatters
"600 word opinion, editorial, column or essay",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.08
/word",popsugar
1300 word feature,Little to no reporting; Cold pitch (no pre existing relationship),"$0.04
/word",popsugar
"760 word opinion, editorial, column or essay",Little to no reporting; Submission/spec (piece was written prior and then submitted for publication),"$0.00
/word",popsugar
"1000 word opinion, editorial, column or essay",,"$0.20
/word",popular mechanics
1300 word feature,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.25
/word",popular mechanics
,,"$150
flat",popular mechanics
500 word news story,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$2.00
/word",popular science
1200 word news story,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.13
/word",popular science
990 word fob,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$2.00
/word",popular science
~5000 word feature,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$1.60
/word",popular science
1000 word news story,,"$0.35
/word",popular science
2500 word,,"$0.03
/word",pornoktisch
"~1500 word opinion, editorial, column or essay",Medium reporting; Cold pitch (no pre existing relationship),"$0.00
/word",portable
"~750 word criticism, review, or arts/entertainment converage",Little to no reporting; Cold pitch (no pre existing relationship),"$0.00
/word",portable
~8000 word blog post,Little to no reporting; Submission/spec (piece was written prior and then submitted for publication),"$0.10
/word",portals of prayer
"120 word criticism, review, or arts/entertainment coverage",Medium reporting; Assignment (editor came to you),"$0.83
/word",porter  sail
1000 word blog post,Medium reporting; Referral (you had a connection who connected you to the editor),"$1.00
/word",porter  sail
~750 word fob,Little to no reporting; Assignment (editor came to you),"$0.50
/word",porthole
750 word news story,Little to no reporting; Cold pitch (no pre existing relationship),"$0.15
/word",portland mercury
550 word,,"$0.15
/word",portland mercury
1000 word profile or interview,Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.15
/word",portland mercury
1700 word news story,Heavy/Investigative reporting; Ongoing/pre existing relationship with editor or publication,"$0.15
/word",poynterorg
750 word other,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.47
/word",practical pain management
300 word news story,Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.03
/word",prefix mag
~750 word fob,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.33
/word",pregnancy  newborn magazine
~3000 word feature,Medium reporting,,priceonomics
500 word fob,Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$1.00
/word",princeton alumni weekly
350 word,,"$0.50
/word",princeton alumni weekly
1500 word feature,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.20
/word",projection lights and staging news
1500 word blog post,Little to no reporting; Solicited pitch (editor asked you to pitch),"$0.10
/word",projectmanagercom
5000 word fiction,Submission/spec (piece was written prior and then submitted for publication),"$0.06
/word",pseudopod
2000 word news story,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.04
/word",psychedelic times
600 word news story,Medium reporting; Solicited pitch (editor asked you to pitch),"$0.08
/word",psychedelic times
"1100 word opinion, editorial, column or essay",,"$0.73
/word",psychology today
"200 word criticism, review, or arts/entertainment coverage",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.15
/word",publishers weekly
"~125 word criticism, review, or arts/entertainment converage",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.20
/word",publishers weekly
,,"$75
flat",publishers weekly
,,,publishers weekly
~1500 word feature,Medium reporting; Solicited pitch (editor asked you to pitch),"$0.00
/word",pure green magazine
250 word blog post,Little to no reporting; Cold pitch (no pre existing relationship),"$0.40
/word",purewow
"1200 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.25
/word",purseblog
1000 word,,"$0.25
/word",quartz
"1500 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.17
/word",quartz
760 word,,"$0.39
/word",quartz
1200 word news story,Heavy/Investigative reporting; Referral (you had a connection who connected you to the editor),"$0.29
/word",quartz
750 word news story,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.33
/word",quartz
1700 word feature,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.15
/word",quartz
2200 word feature,Medium reporting; Referral (you had a connection who connected you to the editor),"$0.23
/word",quartz
~3000 word profile or interview,Medium reporting; Assignment (editor came to you),"$0.07
/word",quartz
"1100 word opinion, editorial, column or essay",,"$0.05
/word",quartz
1500 word,,"$0.00
/word",queen mobs teahouse
~1500 word profile or interview,Heavy/Investigative reporting; Ongoing/pre existing relationship with editor or publication,"$0.13
/word",quench magazine
~125 word fob,Ongoing/pre existing relationship with editor or publication,"$0.24
/word",quench magazine
"~1500 word opinion, editorial, column or essay",Medium reporting; Cold pitch (no pre existing relationship),"$0.08
/word",quillette magazine
"1047 word opinion, editorial, column or essay",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.36
/word",racked
"1200 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.42
/word",racked
1500 word feature,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.47
/word",racked
"1200 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.38
/word",racked
291 word feature,Little to no reporting; Cold pitch (no pre existing relationship),"$0.69
/word",racked
939 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.64
/word",racked
2200 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.23
/word",racked
1300 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.50
/word",racked
2500 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.20
/word",racked
1200 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.33
/word",racked
278 word fob,Little to no reporting; Cold pitch (no pre existing relationship),"$0.36
/word",racked
"1500 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.25
/word",racked
1200 word feature,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.54
/word",racked
1200 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.54
/word",racked
1200 word news story,Medium reporting; Referral (you had a connection who connected you to the editor),"$0.38
/word",racked
1200 word,,"$0.42
/word",racked
~1500 word news story,Medium reporting; Cold pitch (no pre existing relationship),,racked
"~1500 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.17
/word",racked
"~1500 word opinion, editorial, column or essay",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.17
/word",racked
fob,,"$50
flat",racked
~3000 word feature,Heavy/Investigative reporting; Ongoing/pre existing relationship with editor or publication,"$0.13
/word",radiocom
"900 word criticism, review, or arts/entertainment coverage",Little to no reporting; Cold pitch (no pre existing relationship),"$0.00
/word",rain taxi
"~750 word opinion, editorial, column or essay",Little to no reporting; Assignment (editor came to you),"$0.04
/word",raleigh  company
"~750 word opinion, editorial, column or essay",Medium reporting; Cold pitch (no pre existing relationship),"$0.00
/word",rappler
~375 word news story,Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.13
/word",rare
"1136 word criticism, review, or arts/entertainment coverage",Little to no reporting; Cold pitch (no pre existing relationship),"$0.09
/word",ravishly
"800 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.13
/word",ravishly
"800 word opinion, editorial, column or essay",Medium reporting; Cold pitch (no pre existing relationship),"$0.13
/word",ravishly
"1200 word opinion, editorial, column or essay",Little to no reporting; Referral (you had a connection who connected you to the editor),"$0.06
/word",ravishly
"1000 word opinion, editorial, column or essay",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.07
/word",ravishly
"~750 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.07
/word",ravishly
~750 word news story,Little to no reporting; Cold pitch (no pre existing relationship),"$0.04
/word",ravishly
800 word fob,Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.06
/word",readers digest
1400 word profile or interview,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$1.00
/word",readers digest
"~375 word opinion, editorial, column or essay",Little to no reporting; Solicited pitch (editor asked you to pitch),"$0.80
/word",readers digest
"~375 word opinion, editorial, column or essay",Little to no reporting; edito,"$0.80
/word",readers digest
~1500 word feature,Heavy/Investigative reporting; Ongoing/pre existing relationship with editor or publication,"$1.50
/word",readers digest
1000 word feature,Medium reporting; Assignment (editor came to you),"$0.70
/word",readers digest canada
500 word,,"$1.00
/word",readers digest canada
3000 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.15
/word",real life magazine
"2000 word opinion, editorial, column or essay",Medium reporting; Cold pitch (no pre existing relationship),"$0.23
/word",real life magazine
"3000 word opinion, editorial, column or essay",Medium reporting; Assignment (editor came to you),"$0.00
/word",real life magazine
"3600 word opinion, editorial, column or essay",Medium reporting; Solicited pitch (editor asked you to pitch),"$0.14
/word",real life magazine
"4100 word opinion, editorial, column or essay",Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.12
/word",real life magazine
1000 word blog post,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.50
/word",realtor magazine
"1000 word criticism, review, or arts/entertainment coverage",Medium reporting; Cold pitch (no pre existing relationship),"$0.50
/word",reason
3500 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.34
/word",reason
700 word feature,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.07
/word",recruiter today
"~750 word opinion, editorial, column or essay",Medium reporting; Assignment (editor came to you),"$0.25
/word",red bull music
~1500 word profile or interview,Heavy/Investigative reporting; Ongoing/pre existing relationship with editor or publication,"$0.26
/word",red bull music academy magazine now rbma dailly
2800 word feature,Heavy/Investigative reporting; Solicited pitch (editor asked you to pitch),"$2800.00
/word",red bulletin
,,,red bulletin
1806 word feature,Medium reporting; Other,"$0.42
/word",redmond magazine
400 word other,Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.07
/word",reductress
400 word other,Little to no reporting; Cold pitch (no pre existing relationship),"$0.07
/word",reductress
400 word other,Little to no reporting; Cold pitch (no pre existing relationship),"$0.07
/word",reductress
1200 word news story,Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.33
/word",refinery29
"1000 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.07
/word",refinery29
700 word feature,,"$0.43
/word",refinery29
"~1500 word opinion, editorial, column or essay",Heavy/Investigative reporting; Solicited pitch (editor asked you to pitch),"$0.67
/word",refinery29
"~1500 word opinion, editorial, column or essay",Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.07
/word",refinery29
~750 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.53
/word",refinery29
"~750 word opinion, editorial, column or essay",Medium reporting; Submission/spec (piece was written prior and then submitted for publication),"$0.13
/word",refinery29
"~1500 word opinion, editorial, column or essay",Little to no reporting; Solicited pitch (editor asked you to pitch),"$0.33
/word",refinery29
,,"$30
flat",refinery29
~375 word fob,Little to no reporting; Solicited pitch (editor asked you to pitch),"$0.53
/word",refinery29
"~1500 word opinion, editorial, column or essay",Little to no reporting; Solicited pitch (editor asked you to pitch),"$0.05
/word",refinery29
"300 word criticism, review, or arts/entertainment converage",,"$0.10
/word",refinery29
~230 word blog post,,"$0.15
/word",refinery29
,,"$150
flat",refinery29
1000 word profile or interview,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.20
/word",relevant magazine
,,,relevant magazine
1900 word feature,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.26
/word",religion  politics
1200 word news story,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.29
/word",religion news service
1000 word,,"$0.07
/word",remeshed
"1000 word criticism, review, or arts/entertainment coverage",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.13
/word",remezcla
1200 word fob,Medium reporting; Assignment (editor came to you),"$0.17
/word",remezcla
800 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.19
/word",remezcla
"~750 word opinion, editorial, column or essay",Medium reporting; Assignment (editor came to you),"$0.10
/word",renaissance magazine
~750 word profile or interview,Medium reporting; Assignment (editor came to you),,renocom
2300 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.00
/word",reorient magazine
1200 word blog post,Medium reporting; Referral (you had a connection who connected you to the editor),"$0.29
/word",resetme
1300 word news story,Heavy/Investigative reporting; Solicited pitch (editor asked you to pitch),"$0.23
/word",resetme
~3000 word profile or interview,Heavy/Investigative reporting; Cold pitch (no pre existing relationship),"$0.03
/word",resetme
