description,details,money,pub_name,rate,type
750 word,,"$0.40
/word",ozy,0.4,word
900 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.56
/word",ozy,0.56,word
800 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.63
/word",ozy,0.63,word
"~750 word opinion, editorial, column or essay",Little to no reporting; Solicited pitch (editor asked you to pitch),"$0.47
/word",ozy,0.47,word
"~750 word opinion, editorial, column or essay",Little to no reporting; Solicited pitch (editor asked you to pitch),"$0.47
/word",ozy,0.47,word
1200 word,,"$1.00
/word",pacific standard,1.0,word
1200 word,,"$1.00
/word",pacific standard,1.0,word
2000 word feature,Heavy/Investigative reporting; Ongoing/pre existing relationship with editor or publication,"$0.17
/word",pacific standard,0.17,word
1000 word,,"$0.25
/word",pacific standard,0.25,word
2000 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.20
/word",pacific standard,0.2,word
2500 word feature,Medium reporting; Solicited pitch (editor asked you to pitch),"$0.16
/word",pacific standard,0.16,word
1600 word feature,Medium reporting; Other,"$0.25
/word",pacific standard,0.25,word
2500 word feature,Medium reporting; Solicited pitch (editor asked you to pitch),"$0.12
/word",pacific standard,0.12,word
1000 word news story,Medium reporting; Referral (you had a connection who connected you to the editor),"$0.25
/word",pacific standard,0.25,word
2500 word feature,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$2.00
/word",pacific standard,2.0,word
"800 word opinion, editorial, column or essay",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.75
/word",pacific standard,0.75,word
2000 word feature,Heavy/Investigative reporting; Cold pitch (no pre existing relationship),"$0.15
/word",pacific standard,0.15,word
~1500 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.17
/word",pacific standard,0.17,word
"~1500 word opinion, editorial, column or essay",Little to no reporting; Solicited pitch (editor asked you to pitch),"$0.17
/word",pacific standard,0.17,word
"~750 word criticism, review, or arts/entertainment converage",Little to no reporting; Solicited pitch (editor asked you to pitch),"$0.33
/word",pacific standard,0.33,word
~750 word news story,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.33
/word",pacific standard,0.33,word
~750 word fob,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$1.33
/word",pacific standard,1.33,word
~3000 word feature,Heavy/Investigative reporting; Cold pitch (no pre existing relationship),"$0.83
/word",pacific standard,0.83,word
2000 word,,"$0.20
/word",pagely,0.2,word
1200 word profile or interview,Medium reporting; Cold pitch (no pre existing relationship),"$0.08
/word",paper magazine,0.08,word
1000 word feature,,"$3.00
/word",parade,3.0,word
1350 word other,Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.09
/word",parallax news,0.09,word
"463 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.11
/word",parent co,0.11,word
800 word blog post,Little to no reporting; Cold pitch (no pre existing relationship),"$0.06
/word",parent co,0.06,word
600 word blog post,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.08
/word",parent co,0.08,word
"500 word opinion, editorial, column or essay",,"$1.50
/word",parenting magazine,1.5,word
1000 word feature,Cold pitch (no pre existing relationship),"$0.00
/word",parentmap,0.0,word
~1500 word feature,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$1.75
/word",parents,1.75,word
~1500 word news story,Medium reporting; Cold pitch (no pre existing relationship),"$0.23
/word",parents,0.23,word
~750 word fob,Heavy/Investigative reporting; Ongoing/pre existing relationship with editor or publication,"$1.87
/word",parents,1.87,word
700 word news story,,"$0.36
/word",parents,0.36,word
400 word feature,Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.38
/word",particle,0.38,word
800 word,,"$0.04
/word",paste magazine,0.04,word
"1200 word opinion, editorial, column or essay",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.08
/word",paste magazine,0.08,word
"1000 word criticism, review, or arts/entertainment coverage",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.07
/word",paste magazine,0.07,word
1000 word news story,Little to no reporting; Referral (you had a connection who connected you to the editor),"$0.10
/word",paste magazine,0.1,word
1700 word blog post,Little to no reporting; Referral (you had a connection who connected you to the editor),"$0.06
/word",paste magazine,0.06,word
1000 word,Little to no reporting; Referral (you had a connection who connected you to the editor),"$0.10
/word",paste magazine,0.1,word
1000 word,,"$0.10
/word",paste magazine,0.1,word
1000 word,,"$0.10
/word",paste magazine,0.1,word
"1000 word opinion, editorial, column or essay",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.05
/word",paste magazine,0.05,word
500 word,Little to no reporting,"$0.04
/word",paste magazine,0.04,word
800 word,,"$0.13
/word",paste magazine,0.13,word
754 word fob,Little to no reporting; Cold pitch (no pre existing relationship),"$0.10
/word",paste magazine,0.1,word
3000 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.05
/word",paste magazine,0.05,word
"1500 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.05
/word",paste magazine,0.05,word
750 word blog post,Medium reporting; Cold pitch (no pre existing relationship),"$0.17
/word",paste magazine,0.17,word
"~750 word criticism, review, or arts/entertainment converage",Medium reporting; Solicited pitch (editor asked you to pitch),"$0.05
/word",paste magazine,0.05,word
~750 word profile or interview,Medium reporting; Cold pitch (no pre existing relationship),"$0.13
/word",paste magazine,0.13,word
~750 word fob,Medium reporting; Cold pitch (no pre existing relationship),"$0.07
/word",paste magazine,0.07,word
"800 word criticism, review, or arts/entertainment converage",,"$0.04
/word",paste magazine,0.04,word
781 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.10
/word",paste magazine food section,0.1,word
~750 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.13
/word",paste magazine food section,0.13,word
~750 word news story,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.20
/word",pbs mediashift,0.2,word
"~750 word opinion, editorial, column or essay",Medium reporting; Ongoing/pre existing relationship with editor or publication,"$1.00
/word",pbs nova nature of reality blog,1.0,word
500 word,,"$0.60
/word",pcmag,0.6,word
2000 word,,"$0.45
/word",penthouse,0.45,word
"1000 word opinion, editorial, column or essay",Medium reporting; Cold pitch (no pre existing relationship),"$0.14
/word",peppermint magazine,0.14,word
1200 word fiction,Little to no reporting; Cold pitch (no pre existing relationship),"$0.10
/word",perihelion science fiction,0.1,word
"~1500 word opinion, editorial, column or essay",Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.20
/word",pet business,0.2,word
~1500 word feature,Medium reporting; Assignment (editor came to you),"$0.20
/word",pet business,0.2,word
"750 word opinion, editorial, column or essay",Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.13
/word",philadelphia inquirer,0.13,word
"525 word criticism, review, or arts/entertainment coverage",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.29
/word",philadelphia inquirer,0.29,word
"800 word opinion, editorial, column or essay",Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.13
/word",philadelphia inquirer,0.13,word
"~750 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.13
/word",philadelphia inquirer,0.13,word
5000 word news story,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.10
/word",photopreneur,0.1,word
5000 word profile or interview,Medium reporting; Assignment (editor came to you),"$0.00
/word",photopreneur,0.0,word
~1500 word news story,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.47
/word",physicians practice,0.47,word
250 word,,"$0.20
/word",pitchfork,0.2,word
1600 word,,"$0.25
/word",pitchfork,0.25,word
"1000 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.13
/word",pitchfork,0.13,word
1400 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.50
/word",pittsburgh quarterly,0.5,word
1400 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.50
/word",pittsburgh quarterly,0.5,word
~750 word news story,Little to no reporting; Cold pitch (no pre existing relationship),"$0.67
/word",pizza today,0.67,word
4000 word feature,Heavy/Investigative reporting; Cold pitch (no pre existing relationship),"$0.30
/word",places journal,0.3,word
~375 word news story,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$1.04
/word",planning magazine,1.04,word
3000 word feature,,"$1.00
/word",plate magazine,1.0,word
500 word feature,Medium reporting; Assignment (editor came to you),"$0.30
/word",playbill,0.3,word
"1300 word criticism, review, or arts/entertainment coverage",Medium reporting; Cold pitch (no pre existing relationship),"$0.00
/word",playboy,0.0,word
1600 word feature,Medium reporting; Assignment (editor came to you),"$0.31
/word",playboy,0.31,word
3600 word,Heavy/Investigative reporting,"$2.00
/word",playboy,2.0,word
1500 word feature,Medium reporting; Solicited pitch (editor asked you to pitch),"$0.33
/word",playboy,0.33,word
800 word feature,Little to no reporting; Cold pitch (no pre existing relationship),"$0.29
/word",playboy,0.29,word
"~1500 word opinion, editorial, column or essay",Medium reporting; Cold pitch (no pre existing relationship),"$0.17
/word",playboy,0.17,word
"1300 word criticism, review, or arts/entertainment coverage",Medium reporting; Cold pitch (no pre existing relationship),"$0.00
/word",playboy,0.0,word
1600 word feature,Medium reporting; Assignment (editor came to you),"$0.31
/word",playboy,0.31,word
3600 word,Heavy/Investigative reporting,"$2.00
/word",playboy,2.0,word
1500 word feature,Medium reporting; Solicited pitch (editor asked you to pitch),"$0.33
/word",playboy,0.33,word
800 word feature,Little to no reporting; Cold pitch (no pre existing relationship),"$0.29
/word",playboy,0.29,word
"~1500 word opinion, editorial, column or essay",Medium reporting; Cold pitch (no pre existing relationship),"$0.17
/word",playboy,0.17,word
"900 word criticism, review, or arts/entertainment coverage",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.02
/word",ploughshares,0.02,word
"2500 word opinion, editorial, column or essay",Little to no reporting; Referral (you had a connection who connected you to the editor),"$0.16
/word",podiatry management magazine,0.16,word
"1500 word opinion, editorial, column or essay",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.50
/word",poetry foundation,0.5,word
~1500 word profile or interview,Medium reporting; Solicited pitch (editor asked you to pitch),"$0.33
/word",poetry foundation,0.33,word
1600 word,,"$0.44
/word",poetry foundation,0.44,word
"~1500 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.17
/word",poets  writers,0.17,word
1200 word,,"$0.21
/word",policy mic,0.21,word
"900 word criticism, review, or arts/entertainment coverage",Little to no reporting; Referral (you had a connection who connected you to the editor),"$0.17
/word",policy mic,0.17,word
"~750 word opinion, editorial, column or essay",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.04
/word",policy mic,0.04,word
~750 word news story,Medium reporting; Assignment (editor came to you),"$0.10
/word",policy mic,0.1,word
"1000 word opinion, editorial, column or essay",Medium reporting; Cold pitch (no pre existing relationship),"$0.35
/word",politico magazine,0.35,word
2000 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.20
/word",politico magazine,0.2,word
"2000 word opinion, editorial, column or essay",Little to no reporting; Submission/spec (piece was written prior and then submitted for publication),"$0.20
/word",politico magazine,0.2,word
1400 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.31
/word",politico magazine europe edition,0.31,word
750 word news story,Medium reporting; Solicited pitch (editor asked you to pitch),"$0.13
/word",pollstar,0.13,word
"3000 word opinion, editorial, column or essay",Heavy/Investigative reporting; Ongoing/pre existing relationship with editor or publication,"$0.10
/word",polygon,0.1,word
1000 word,,"$0.25
/word",polygon,0.25,word
"~3000 word criticism, review, or arts/entertainment converage",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.00
/word",popmatters,0.0,word
"600 word opinion, editorial, column or essay",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.08
/word",popsugar,0.08,word
1300 word feature,Little to no reporting; Cold pitch (no pre existing relationship),"$0.04
/word",popsugar,0.04,word
"760 word opinion, editorial, column or essay",Little to no reporting; Submission/spec (piece was written prior and then submitted for publication),"$0.00
/word",popsugar,0.0,word
"1000 word opinion, editorial, column or essay",,"$0.20
/word",popular mechanics,0.2,word
1300 word feature,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.25
/word",popular mechanics,0.25,word
500 word news story,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$2.00
/word",popular science,2.0,word
1200 word news story,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.13
/word",popular science,0.13,word
990 word fob,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$2.00
/word",popular science,2.0,word
~5000 word feature,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$1.60
/word",popular science,1.6,word
1000 word news story,,"$0.35
/word",popular science,0.35,word
2500 word,,"$0.03
/word",pornoktisch,0.03,word
"~1500 word opinion, editorial, column or essay",Medium reporting; Cold pitch (no pre existing relationship),"$0.00
/word",portable,0.0,word
"~750 word criticism, review, or arts/entertainment converage",Little to no reporting; Cold pitch (no pre existing relationship),"$0.00
/word",portable,0.0,word
~8000 word blog post,Little to no reporting; Submission/spec (piece was written prior and then submitted for publication),"$0.10
/word",portals of prayer,0.1,word
"120 word criticism, review, or arts/entertainment coverage",Medium reporting; Assignment (editor came to you),"$0.83
/word",porter  sail,0.83,word
1000 word blog post,Medium reporting; Referral (you had a connection who connected you to the editor),"$1.00
/word",porter  sail,1.0,word
~750 word fob,Little to no reporting; Assignment (editor came to you),"$0.50
/word",porthole,0.5,word
750 word news story,Little to no reporting; Cold pitch (no pre existing relationship),"$0.15
/word",portland mercury,0.15,word
550 word,,"$0.15
/word",portland mercury,0.15,word
1000 word profile or interview,Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.15
/word",portland mercury,0.15,word
1700 word news story,Heavy/Investigative reporting; Ongoing/pre existing relationship with editor or publication,"$0.15
/word",poynterorg,0.15,word
750 word other,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.47
/word",practical pain management,0.47,word
300 word news story,Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.03
/word",prefix mag,0.03,word
~750 word fob,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.33
/word",pregnancy  newborn magazine,0.33,word
500 word fob,Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$1.00
/word",princeton alumni weekly,1.0,word
350 word,,"$0.50
/word",princeton alumni weekly,0.5,word
1500 word feature,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.20
/word",projection lights and staging news,0.2,word
1500 word blog post,Little to no reporting; Solicited pitch (editor asked you to pitch),"$0.10
/word",projectmanagercom,0.1,word
5000 word fiction,Submission/spec (piece was written prior and then submitted for publication),"$0.06
/word",pseudopod,0.06,word
2000 word news story,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.04
/word",psychedelic times,0.04,word
600 word news story,Medium reporting; Solicited pitch (editor asked you to pitch),"$0.08
/word",psychedelic times,0.08,word
"1100 word opinion, editorial, column or essay",,"$0.73
/word",psychology today,0.73,word
"200 word criticism, review, or arts/entertainment coverage",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.15
/word",publishers weekly,0.15,word
"~125 word criticism, review, or arts/entertainment converage",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.20
/word",publishers weekly,0.2,word
~1500 word feature,Medium reporting; Solicited pitch (editor asked you to pitch),"$0.00
/word",pure green magazine,0.0,word
250 word blog post,Little to no reporting; Cold pitch (no pre existing relationship),"$0.40
/word",purewow,0.4,word
"1200 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.25
/word",purseblog,0.25,word
1000 word,,"$0.25
/word",quartz,0.25,word
"1500 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.17
/word",quartz,0.17,word
760 word,,"$0.39
/word",quartz,0.39,word
1200 word news story,Heavy/Investigative reporting; Referral (you had a connection who connected you to the editor),"$0.29
/word",quartz,0.29,word
750 word news story,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.33
/word",quartz,0.33,word
1700 word feature,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.15
/word",quartz,0.15,word
2200 word feature,Medium reporting; Referral (you had a connection who connected you to the editor),"$0.23
/word",quartz,0.23,word
~3000 word profile or interview,Medium reporting; Assignment (editor came to you),"$0.07
/word",quartz,0.07,word
"1100 word opinion, editorial, column or essay",,"$0.05
/word",quartz,0.05,word
1500 word,,"$0.00
/word",queen mobs teahouse,0.0,word
~1500 word profile or interview,Heavy/Investigative reporting; Ongoing/pre existing relationship with editor or publication,"$0.13
/word",quench magazine,0.13,word
~125 word fob,Ongoing/pre existing relationship with editor or publication,"$0.24
/word",quench magazine,0.24,word
"~1500 word opinion, editorial, column or essay",Medium reporting; Cold pitch (no pre existing relationship),"$0.08
/word",quillette magazine,0.08,word
"1047 word opinion, editorial, column or essay",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.36
/word",racked,0.36,word
"1200 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.42
/word",racked,0.42,word
1500 word feature,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.47
/word",racked,0.47,word
"1200 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.38
/word",racked,0.38,word
291 word feature,Little to no reporting; Cold pitch (no pre existing relationship),"$0.69
/word",racked,0.69,word
939 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.64
/word",racked,0.64,word
2200 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.23
/word",racked,0.23,word
1300 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.50
/word",racked,0.5,word
2500 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.20
/word",racked,0.2,word
1200 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.33
/word",racked,0.33,word
278 word fob,Little to no reporting; Cold pitch (no pre existing relationship),"$0.36
/word",racked,0.36,word
"1500 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.25
/word",racked,0.25,word
1200 word feature,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.54
/word",racked,0.54,word
1200 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.54
/word",racked,0.54,word
1200 word news story,Medium reporting; Referral (you had a connection who connected you to the editor),"$0.38
/word",racked,0.38,word
1200 word,,"$0.42
/word",racked,0.42,word
"~1500 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.17
/word",racked,0.17,word
"~1500 word opinion, editorial, column or essay",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.17
/word",racked,0.17,word
~3000 word feature,Heavy/Investigative reporting; Ongoing/pre existing relationship with editor or publication,"$0.13
/word",radiocom,0.13,word
"900 word criticism, review, or arts/entertainment coverage",Little to no reporting; Cold pitch (no pre existing relationship),"$0.00
/word",rain taxi,0.0,word
"~750 word opinion, editorial, column or essay",Little to no reporting; Assignment (editor came to you),"$0.04
/word",raleigh  company,0.04,word
"~750 word opinion, editorial, column or essay",Medium reporting; Cold pitch (no pre existing relationship),"$0.00
/word",rappler,0.0,word
~375 word news story,Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.13
/word",rare,0.13,word
"1136 word criticism, review, or arts/entertainment coverage",Little to no reporting; Cold pitch (no pre existing relationship),"$0.09
/word",ravishly,0.09,word
"800 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.13
/word",ravishly,0.13,word
"800 word opinion, editorial, column or essay",Medium reporting; Cold pitch (no pre existing relationship),"$0.13
/word",ravishly,0.13,word
"1200 word opinion, editorial, column or essay",Little to no reporting; Referral (you had a connection who connected you to the editor),"$0.06
/word",ravishly,0.06,word
"1000 word opinion, editorial, column or essay",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.07
/word",ravishly,0.07,word
"~750 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.07
/word",ravishly,0.07,word
~750 word news story,Little to no reporting; Cold pitch (no pre existing relationship),"$0.04
/word",ravishly,0.04,word
800 word fob,Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.06
/word",readers digest,0.06,word
1400 word profile or interview,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$1.00
/word",readers digest,1.0,word
"~375 word opinion, editorial, column or essay",Little to no reporting; Solicited pitch (editor asked you to pitch),"$0.80
/word",readers digest,0.8,word
"~375 word opinion, editorial, column or essay",Little to no reporting; edito,"$0.80
/word",readers digest,0.8,word
~1500 word feature,Heavy/Investigative reporting; Ongoing/pre existing relationship with editor or publication,"$1.50
/word",readers digest,1.5,word
1000 word feature,Medium reporting; Assignment (editor came to you),"$0.70
/word",readers digest canada,0.7,word
500 word,,"$1.00
/word",readers digest canada,1.0,word
3000 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.15
/word",real life magazine,0.15,word
"2000 word opinion, editorial, column or essay",Medium reporting; Cold pitch (no pre existing relationship),"$0.23
/word",real life magazine,0.23,word
"3000 word opinion, editorial, column or essay",Medium reporting; Assignment (editor came to you),"$0.00
/word",real life magazine,0.0,word
"3600 word opinion, editorial, column or essay",Medium reporting; Solicited pitch (editor asked you to pitch),"$0.14
/word",real life magazine,0.14,word
"4100 word opinion, editorial, column or essay",Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.12
/word",real life magazine,0.12,word
1000 word blog post,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.50
/word",realtor magazine,0.5,word
"1000 word criticism, review, or arts/entertainment coverage",Medium reporting; Cold pitch (no pre existing relationship),"$0.50
/word",reason,0.5,word
3500 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.34
/word",reason,0.34,word
700 word feature,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.07
/word",recruiter today,0.07,word
"~750 word opinion, editorial, column or essay",Medium reporting; Assignment (editor came to you),"$0.25
/word",red bull music,0.25,word
~1500 word profile or interview,Heavy/Investigative reporting; Ongoing/pre existing relationship with editor or publication,"$0.26
/word",red bull music academy magazine now rbma dailly,0.26,word
1806 word feature,Medium reporting; Other,"$0.42
/word",redmond magazine,0.42,word
400 word other,Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.07
/word",reductress,0.07,word
400 word other,Little to no reporting; Cold pitch (no pre existing relationship),"$0.07
/word",reductress,0.07,word
400 word other,Little to no reporting; Cold pitch (no pre existing relationship),"$0.07
/word",reductress,0.07,word
1200 word news story,Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.33
/word",refinery29,0.33,word
"1000 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.07
/word",refinery29,0.07,word
700 word feature,,"$0.43
/word",refinery29,0.43,word
"~1500 word opinion, editorial, column or essay",Heavy/Investigative reporting; Solicited pitch (editor asked you to pitch),"$0.67
/word",refinery29,0.67,word
"~1500 word opinion, editorial, column or essay",Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.07
/word",refinery29,0.07,word
~750 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.53
/word",refinery29,0.53,word
"~750 word opinion, editorial, column or essay",Medium reporting; Submission/spec (piece was written prior and then submitted for publication),"$0.13
/word",refinery29,0.13,word
"~1500 word opinion, editorial, column or essay",Little to no reporting; Solicited pitch (editor asked you to pitch),"$0.33
/word",refinery29,0.33,word
~375 word fob,Little to no reporting; Solicited pitch (editor asked you to pitch),"$0.53
/word",refinery29,0.53,word
"~1500 word opinion, editorial, column or essay",Little to no reporting; Solicited pitch (editor asked you to pitch),"$0.05
/word",refinery29,0.05,word
"300 word criticism, review, or arts/entertainment converage",,"$0.10
/word",refinery29,0.1,word
~230 word blog post,,"$0.15
/word",refinery29,0.15,word
1000 word profile or interview,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.20
/word",relevant magazine,0.2,word
1900 word feature,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.26
/word",religion  politics,0.26,word
1200 word news story,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.29
/word",religion news service,0.29,word
1000 word,,"$0.07
/word",remeshed,0.07,word
"1000 word criticism, review, or arts/entertainment coverage",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.13
/word",remezcla,0.13,word
1200 word fob,Medium reporting; Assignment (editor came to you),"$0.17
/word",remezcla,0.17,word
800 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.19
/word",remezcla,0.19,word
"~750 word opinion, editorial, column or essay",Medium reporting; Assignment (editor came to you),"$0.10
/word",renaissance magazine,0.1,word
2300 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.00
/word",reorient magazine,0.0,word
1200 word blog post,Medium reporting; Referral (you had a connection who connected you to the editor),"$0.29
/word",resetme,0.29,word
1300 word news story,Heavy/Investigative reporting; Solicited pitch (editor asked you to pitch),"$0.23
/word",resetme,0.23,word
~3000 word profile or interview,Heavy/Investigative reporting; Cold pitch (no pre existing relationship),"$0.03
/word",resetme,0.03,word
1000 word blog post,Little to no reporting; Other,"$0.03
/word",restaurant nuts,0.03,word
"1000 word opinion, editorial, column or essay",Little to no reporting; Cold pitch (no pre existing relationship),"$0.10
/word",revelist,0.1,word
"750 word opinion, editorial, column or essay",Medium reporting; Cold pitch (no pre existing relationship),"$0.13
/word",revision path,0.13,word
900 word news story,Medium reporting; Cold pitch (no pre existing relationship),"$0.28
/word",rewire news,0.28,word
1200 word feature,Medium reporting; Referral (you had a connection who connected you to the editor),"$0.25
/word",rewire news,0.25,word
1200 word feature,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.13
/word",rewire news,0.13,word
"2200 word opinion, editorial, column or essay",Little to no reporting; Solicited pitch (editor asked you to pitch),"$0.05
/word",ribbonfarm,0.05,word
~1500 word news story,Medium reporting; Ongoing/pre existing relationship with editor or publication,"$0.05
/word",richmond pulse,0.05,word
1000 word feature,Heavy/Investigative reporting; Cold pitch (no pre existing relationship),"$0.08
/word",ricochetmedia,0.08,word
7195 word feature,Heavy/Investigative reporting; Referral (you had a connection who connected you to the editor),"$0.09
/word",riverfront times,0.09,word
1500 word feature,Little to no reporting; Cold pitch (no pre existing relationship),"$0.03
/word",riverfront times,0.03,word
5000 word feature,Heavy/Investigative reporting,"$0.20
/word",roads  kingdoms,0.2,word
2500 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.12
/word",roads  kingdoms,0.12,word
500 word fob,Little to no reporting; Cold pitch (no pre existing relationship),"$0.05
/word",roads  kingdoms,0.05,word
600 word blog post,Little to no reporting; Cold pitch (no pre existing relationship),"$0.04
/word",roads  kingdoms,0.04,word
1849 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.08
/word",roads  kingdoms,0.08,word
500 word feature,Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.05
/word",roads  kingdoms,0.05,word
500 word fob,Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.05
/word",roads  kingdoms,0.05,word
1000 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.15
/word",roads  kingdoms,0.15,word
2000 word feature,Medium reporting; Cold pitch (no pre existing relationship),"$0.13
/word",roads  kingdoms,0.13,word
~1500 word feature,Heavy/Investigative reporting; Ongoing/pre existing relationship with editor or publication,"$0.10
/word",roads  kingdoms,0.1,word
"~125 word criticism, review, or arts/entertainment converage",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.26
/word",rock sound,0.26,word
750 word fob,Medium reporting; Cold pitch (no pre existing relationship),"$1.00
/word",rodales organic life,1.0,word
"800 word opinion, editorial, column or essay",Little to no reporting; Ongoing/pre existing relationship with editor or publication,"$0.25
/word",rodales organic life,0.25,word
1000 word blog post,Medium reporting; Cold pitch (no pre existing relationship),"$0.20
/word",rodales organic life,0.2,word
